file,onset,p_cry,g_pre,g_base,delta,clip_pre,clip_base,face_frac,label,auto
2026-07-04_18-13-07.mp4,,,,,,,,0.0,no_pre_cry,uncertain
2026-07-13_13-34-11.mp4,,,,0.077096929251349,,,,0.1666666666666666,no_pre_cry,uncertain
2026-07-15_22-35-07.mp4,7.0,0.0116500733420252,,,,,,0.0,uncertain,uncertain
2026-07-16_22-13-50.mp4,7.0,0.0016034081345424,0.0934118484857288,0.0917514307767637,0.001660417708965,,,0.5833333333333334,uncertain,uncertain
2026-07-10_00-38-22.mp4,4.4,0.1192387044429779,,,,,,0.0,uncertain,uncertain
2026-07-10_14-17-37.mp4,,,,,,,,0.0,uncertain,uncertain
2026-07-15_09-08-31.mp4,5.2,0.0181183870881795,0.0607483259589608,0.0571410142288401,0.0036073117301206,,,0.25,uncertain,uncertain
2026-07-23_16-44-40.mp4,3.6,0.0019513440784066,,,,,,0.0,uncertain,uncertain
2026-07-10_14-02-44.mp4,5.0,0.0058988537639379,,,,,,0.0,uncertain,uncertain
2026-07-25_23-50-38.mp4,,,,0.0765391445094436,,,,0.1666666666666666,uncertain,uncertain
2026-07-24_07-26-09.mp4,3.4,0.0398271046578884,,0.2305263908028202,,,,0.0833333333333333,uncertain,uncertain
2026-07-01_21-46-40.mp4,2.2,0.0056482627987861,0.0254676092867008,0.0292090999711071,-0.0037414906844063,,,1.0,uncertain,uncertain
2026-07-12_10-35-31.mp4,,,,,,,,0.0,no_pre_cry,uncertain
2026-06-30_19-13-00.mp4,2.8,0.0007026634993962,,,,,,0.0,uncertain,uncertain
2026-07-25_03-50-56.mp4,4.2,0.0115854302421212,0.144994862413991,0.1310025313385566,0.0139923310754344,,,0.5,uncertain,uncertain
2026-07-16_00-47-06.mp4,1.6,0.0106687508523464,,,,,,0.0,uncertain,uncertain
2026-07-06_09-28-54.mp4,,,,0.0582337042530353,,,,0.3333333333333333,no_pre_cry,uncertain
2026-07-12_21-43-14.mp4,,,,0.0709026363436409,,,,0.5,uncertain,uncertain
2026-07-01_18-52-07.mp4,5.2,0.0152145558968186,,,,,,0.0,uncertain,uncertain
2026-07-10_15-52-49.mp4,,,,,,,,0.0,uncertain,uncertain
2026-07-03_03-36-00.mp4,1.8,0.0016314540989696,0.0490541752048342,0.081660277601722,-0.0326061023968878,,,0.6363636363636364,uncertain,no_pre_cry
2026-07-22_00-48-05.mp4,,,,,,,,0.0,uncertain,uncertain
2026-07-21_00-34-14.mp4,1.4,0.0943451002240181,0.1595395714000443,0.1655750293621274,-0.0060354579620831,,,0.6666666666666666,uncertain,uncertain
2026-07-17_07-17-14.mp4,1.4,0.0111157158389687,0.1949081753917847,0.1330700389166607,0.061838136475124,,,0.8888888888888888,uncertain,uncertain
2026-06-30_13-03-31.mp4,,,,,,,,0.0,no_pre_cry,uncertain
2026-07-25_01-17-04.mp4,2.4,0.0019820821471512,0.1087048397579713,0.1348364743651615,-0.0261316346071902,,,0.75,uncertain,no_pre_cry
2026-07-11_22-51-37.mp4,,,,,,,,0.0,uncertain,uncertain
2026-07-11_11-09-28.mp4,,,,,,,,0.0,uncertain,uncertain
2026-07-10_09-24-47.mp4,,,,,,,,0.0,no_pre_cry,uncertain
2026-07-04_05-29-43.mp4,4.8,0.0012357562081888,,,,,,0.0,uncertain,uncertain
2026-07-05_12-54-08.mp4,,,,0.0637790403781083,,,,0.1666666666666666,uncertain,uncertain
2026-07-08_13-16-55.mp4,,,,,,,,0.0,no_pre_cry,uncertain
