file,onset,p_cry,g_pre,g_base,delta,clip_pre,clip_base,face_frac,label,auto
2026-07-04_18-13-07.mp4,,,,,,,0.7443599104881287,0.0,no_pre_cry,uncertain
2026-07-13_13-34-11.mp4,,,,,,,0.857561469078064,0.0,no_pre_cry,uncertain
2026-07-15_22-35-07.mp4,7.0,0.0116500733420252,,,,0.3707699477672577,0.406277984380722,0.0,uncertain,uncertain
2026-07-16_22-13-50.mp4,7.0,0.0016034081345424,0.0719044646737081,0.0729458616121177,-0.0010413969384095,0.4947944581508636,0.5836981534957886,0.4166666666666667,uncertain,uncertain
2026-07-10_00-38-22.mp4,4.4,0.1192387044429779,,0.1651432248735632,,0.2623364925384521,0.4299418926239013,0.0833333333333333,uncertain,uncertain
2026-07-10_14-17-37.mp4,,,,0.1830936821256765,,,0.7098026275634766,0.3333333333333333,uncertain,uncertain
2026-07-15_09-08-31.mp4,5.2,0.0181183870881795,0.0991387092685408,0.0790536928641679,0.0200850164043728,0.5729291439056396,0.5225511789321899,0.4166666666666667,uncertain,uncertain
2026-07-23_16-44-40.mp4,3.6,0.0019513440784066,,,,0.5378118753433228,0.5829873085021973,0.0,uncertain,uncertain
2026-07-10_14-02-44.mp4,5.0,0.0058988537639379,0.1670282594942994,,,0.5915924310684204,0.5822025537490845,0.25,uncertain,uncertain
2026-07-25_23-50-38.mp4,,,,0.0701349511425029,,,0.4024919867515564,0.3333333333333333,uncertain,uncertain
2026-07-24_07-26-09.mp4,3.4,0.0398271046578884,,,,0.5215350389480591,0.6509617567062378,0.0,uncertain,uncertain
2026-07-01_21-46-40.mp4,2.2,0.0056482627987861,0.0550822364660757,,,0.3821613788604736,0.4903192520141601,0.1666666666666666,uncertain,uncertain
2026-07-12_10-35-31.mp4,,,,,,,0.8188680410385132,0.0,no_pre_cry,uncertain
2026-06-30_19-13-00.mp4,2.8,0.0007026634993962,,,,0.2807574868202209,0.3333254754543304,0.0,uncertain,uncertain
2026-07-25_03-50-56.mp4,4.2,0.0115854302421212,,0.1642572011860417,,0.4573061466217041,0.4631191194057464,0.1666666666666666,uncertain,uncertain
